,MI 540 dissipation factor measurement,,,,
time (UTC),tan delta,test object RMS voltage (V),test object current (I),input frequency (Hz),test object capacitance (F)
04-DEC-2019 15:31:8.6,0.0058695,2120.76,0.000373101,1550,1.80636e-11
04-DEC-2019 15:31:8.9,0.00586944,2121.22,0.000373101,1550,1.80635e-11
04-DEC-2019 15:31:9.2,0.00586952,2120.99,0.000373102,1550,1.80635e-11
04-DEC-2019 15:31:9.5,0.00586955,2120.87,0.000373102,1550,1.80635e-11
04-DEC-2019 15:31:9.8,0.00586965,2121.17,0.0003731,1550,1.80635e-11
04-DEC-2019 15:31:10.1,0.00587,2120.76,0.000373097,1550,1.80635e-11
04-DEC-2019 15:31:10.4,0.00586985,2121.04,0.0003731,1550,1.80636e-11
04-DEC-2019 15:31:10.7,0.00586911,2121.03,0.0003731,1550,1.80637e-11
04-DEC-2019 15:31:11.0,0.00586859,2121.11,0.000373097,1550,1.80636e-11
04-DEC-2019 15:31:11.3,0.00586786,2121,0.000373098,1550,1.80637e-11
04-DEC-2019 15:31:11.6,0.00586725,2121.19,0.000373099,1550,1.80637e-11
04-DEC-2019 15:31:11.9,0.005867,2120.97,0.0003731,1550,1.80637e-11
04-DEC-2019 15:31:12.2,0.00586714,2120.99,0.0003731,1550,1.80637e-11
04-DEC-2019 15:31:12.5,0.0058672,2121.08,0.000373101,1550,1.80637e-11
04-DEC-2019 15:31:17.9,0.00580999,2240.78,0.000520616,2050,1.80459e-11
04-DEC-2019 15:31:18.2,0.00581002,2240.75,0.000520617,2050,1.80458e-11
04-DEC-2019 15:31:18.5,0.00581017,2240.7,0.000520616,2050,1.80459e-11
04-DEC-2019 15:31:18.8,0.00581022,2240.79,0.000520616,2050,1.80459e-11
04-DEC-2019 15:31:19.1,0.00581008,2240.75,0.000520619,2050,1.80459e-11
04-DEC-2019 15:31:19.4,0.00581004,2240.7,0.000520616,2050,1.80459e-11
04-DEC-2019 15:31:19.7,0.00580996,2240.78,0.000520613,2050,1.80459e-11
04-DEC-2019 15:31:20.0,0.00580985,2240.73,0.000520616,2050,1.80459e-11
04-DEC-2019 15:31:20.3,0.00580989,2240.76,0.000520615,2050,1.80459e-11
04-DEC-2019 15:31:20.6,0.00580995,2240.74,0.000520613,2050,1.80458e-11
04-DEC-2019 15:31:20.9,0.00581003,2240.76,0.000520614,2050,1.80458e-11
04-DEC-2019 15:31:21.2,0.00580999,2240.75,0.000520616,2050,1.80458e-11
04-DEC-2019 15:31:21.5,0.00581017,2240.73,0.000520612,2050,1.80457e-11
04-DEC-2019 15:31:21.8,0.00581023,2240.72,0.000520608,2050,1.80457e-11
04-DEC-2019 15:31:22.1,0.0058104,2240.74,0.000520609,2050,1.80458e-11
